"Expert","Biodiversity","Estimate","Scenario","Value"
"10","Freshwater","LOWEST","Action",60
"10","Freshwater","HIGHEST","Action",90
"10","Freshwater","BEST GUESS","Action",80
"10","Wetland","LOWEST","Action",60
"10","Wetland","HIGHEST","Action",90
"10","Wetland","BEST GUESS","Action",80
"10","Coniferous Forest","LOWEST","Action",NA
"10","Coniferous Forest","HIGHEST","Action",NA
"10","Coniferous Forest","BEST GUESS","Action",NA
"10","Mixed Forest","LOWEST","Action",NA
"10","Mixed Forest","HIGHEST","Action",NA
"10","Mixed Forest","BEST GUESS","Action",NA
