"Expert","Biodiversity","Estimate","Scenario","Value"
"6","Harris's Sparrow","HIGHEST","Counterfactual",NA
"6","Harris's Sparrow","BEST GUESS","Counterfactual",NA
"6","Bank Swallow","LOWEST","Counterfactual","50"
"6","Bank Swallow","HIGHEST","Counterfactual","80"
"6","Bank Swallow","BEST GUESS","Counterfactual","65"
"6","Rusty Blackbird","LOWEST","Counterfactual",NA
"6","Rusty Blackbird","HIGHEST","Counterfactual",NA
"6","Rusty Blackbird","BEST GUESS","Counterfactual",NA
"6","Northern Myotis","LOWEST","Counterfactual",NA
"6","Northern Myotis","HIGHEST","Counterfactual",NA
"6","Northern Myotis","BEST GUESS","Counterfactual",NA
"6","Little Brown Myotis","LOWEST","Counterfactual",NA
"6","Little Brown Myotis","HIGHEST","Counterfactual",NA
"6","Little Brown Myotis","BEST GUESS","Counterfactual",NA
"6","Wolverine","LOWEST","Counterfactual",NA
"6","Wolverine","HIGHEST","Counterfactual",NA
"6","Wolverine","BEST GUESS","Counterfactual",NA
"6","Grizzly Bear","LOWEST","Counterfactual",NA
"6","Grizzly Bear","HIGHEST","Counterfactual",NA
"6","Grizzly Bear","BEST GUESS","Counterfactual",NA
"6","Transverse Lady Beetle","LOWEST","Counterfactual",NA
"6","Transverse Lady Beetle","HIGHEST","Counterfactual",NA
"6","Transverse Lady Beetle","BEST GUESS","Counterfactual",NA
"6","Ashton (Gypsy) Cuckoo Bumble Bee","LOWEST","Counterfactual",NA
"6","Ashton (Gypsy) Cuckoo Bumble Bee","HIGHEST","Counterfactual",NA
"6","Ashton (Gypsy) Cuckoo Bumble Bee","BEST GUESS","Counterfactual",NA
"6","Suckley's Cuckoo Bumble Bee","LOWEST","Counterfactual",NA
"6","Suckley's Cuckoo Bumble Bee","HIGHEST","Counterfactual",NA
"6","Suckley's Cuckoo Bumble Bee","BEST GUESS","Counterfactual",NA
"6","Western Bumble Bee","LOWEST","Counterfactual",NA
"6","Western Bumble Bee","HIGHEST","Counterfactual",NA
"6","Western Bumble Bee","BEST GUESS","Counterfactual",NA
"6","Yellow-banded Bumble Bee","LOWEST","Counterfactual",NA
"6","Yellow-banded Bumble Bee","HIGHEST","Counterfactual",NA
"6","Yellow-banded Bumble Bee","BEST GUESS","Counterfactual",NA
"6","Porsild's Bryum","LOWEST","Counterfactual",NA
"6","Porsild's Bryum","HIGHEST","Counterfactual",NA
"6","Porsild's Bryum","BEST GUESS","Counterfactual",NA
"6","Evening Grosbeak","LOWEST","Counterfactual",NA
